timeframe,sl,tp,rr_ratio,rsi_buy,rsi_sell,use_candlestick,win_rate,num_trades,final_balance,net_roi,max_drawdown
M15,8.0,12.0,1.5,30-70,30-70,False,41.01694915254237,590,555.6482470713137,11.129649414262735,21.170729964652146
M15,6.0,10.8,1.8,40-60,40-60,True,37.66233766233766,231,555.2578567921393,11.05157135842785,18.53633746977987
M30,6.0,18.0,3.0,40-60,40-60,True,26.993865030674847,163,555.1317264188802,11.026345283776049,9.989243045804496
M30,12.0,18.0,1.5,45-60,40-55,True,43.38235294117647,136,555.1067151617839,11.021343032356775,8.648275251635932
M15,8.0,12.0,1.5,45-60,40-55,False,41.361256544502616,382,553.2077677901354,10.64155355802709,21.609830281027985
M30,15.0,27.0,1.8,45-60,40-55,True,38.88888888888889,126,552.740275142029,10.548055028405793,8.6482752516359
M30,10.0,18.0,1.8,45-60,40-55,True,38.57142857142858,140,552.0478867929669,10.40957735859338,9.561792499119562
M30,12.0,36.0,3.0,30-70,30-70,False,26.258992805755394,278,551.1912317938348,10.238246358766968,20.357446739974073
M15,6.0,10.8,1.8,30-70,30-70,False,36.5558912386707,662,550.4451018376661,10.089020367533227,24.336904950942785
M15,10.0,18.0,1.8,45-60,40-55,False,37.08206686930091,329,550.407321350959,10.081464270191805,19.71480608861349
M15,10.0,15.0,1.5,45-60,40-55,False,41.39941690962099,343,549.3158341481025,9.863166829620491,20.669887774795725
M30,8.0,20.0,2.5,45-60,40-55,True,30.76923076923077,143,547.9038431799664,9.580768635993287,11.996652581405506
M15,8.0,14.4,1.8,40-60,40-60,False,36.829268292682926,410,547.5198680693068,9.503973613861353,22.644951705865736
M15,15.0,37.5,2.5,30-70,30-70,False,29.6875,320,544.0715301561743,8.814306031234857,24.42341015656268
M15,8.0,14.4,1.8,45-60,40-55,False,36.82795698924731,372,542.8580981625319,8.571619632506373,21.15379438768229
M15,12.0,24.0,2.0,45-60,40-55,False,34.56375838926174,298,541.5650662465578,8.313013249311552,21.321559428217896
M30,15.0,22.5,1.5,30-70,30-70,False,41.40350877192983,285,540.8047376565764,8.160947531315287,16.239614185873886
M30,15.0,27.0,1.8,40-60,40-60,False,37.32057416267943,209,538.8987555109744,7.779751102194882,9.60629713028705
M30,10.0,15.0,1.5,40-60,40-60,False,41.39194139194139,273,538.5969802281504,7.7193960456300825,15.549759377878262
M30,15.0,37.5,2.5,30-70,30-70,False,29.761904761904763,252,537.884899934109,7.576979986821788,15.00164493228427
H1,8.0,20.0,2.5,40-60,40-60,True,32.72727272727273,55,537.6526385952441,7.5305277190488145,5.8519850599000085
H1,6.0,18.0,3.0,40-60,40-60,False,26.618705035971225,139,535.4724944353278,7.09449888706556,11.46643504776024
M30,12.0,36.0,3.0,40-60,40-60,False,26.168224299065418,214,534.8294757086784,6.965895141735677,15.356970592798483
M30,10.0,15.0,1.5,45-60,40-55,False,41.365461847389554,249,534.2084671325277,6.841693426505549,16.923833726845867
