timeframe,sl,tp,grid_step,multiplier,max_legs,target_profit,rsi_buy,rsi_sell,use_candlestick,win_rate,num_baskets,final_balance,net_roi,max_drawdown
M30,20.0,15.0,20.0,2.0,4,2.0,45-60,40-55,True,58.46153846153847,130,505.6443848241371,1.1288769648274184,2.6885745516098942
M30,20.0,15.0,20.0,1.5,3,2.0,45-60,40-55,True,58.46153846153847,130,505.6443848241371,1.1288769648274184,2.6885745516098942
M30,20.0,15.0,20.0,1.5,3,4.0,45-60,40-55,True,58.46153846153847,130,505.6443848241371,1.1288769648274184,2.6885745516098942
M30,30.0,15.0,20.0,1.5,3,2.0,45-60,40-55,True,84.03361344537815,119,505.20300932932764,1.0406018658655285,7.860213467167563
H1,30.0,15.0,15.0,1.5,3,2.0,45-60,40-55,True,87.8048780487805,41,504.7055024575758,0.941100491515158,4.045999999999868
H1,20.0,15.0,10.0,2.0,3,2.0,45-60,40-55,True,78.57142857142857,42,503.8931620111605,0.7786324022320968,4.981406090751866
H1,20.0,15.0,10.0,2.0,4,2.0,45-60,40-55,True,78.57142857142857,42,503.8931620111605,0.7786324022320968,4.981406090751866
H1,20.0,20.0,20.0,1.5,4,2.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,20.0,20.0,1.5,3,4.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,20.0,20.0,1.5,4,4.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,20.0,20.0,1.5,3,2.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,20.0,20.0,2.0,3,4.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,20.0,20.0,2.0,4,2.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,20.0,20.0,2.0,4,4.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,20.0,20.0,2.0,3,2.0,45-60,40-55,True,52.5,40,503.8548036294541,0.7709607258908249,1.204691280783277
H1,20.0,15.0,15.0,2.0,4,4.0,45-60,40-55,True,70.73170731707317,41,503.72852424867483,0.7457048497349661,5.1175206121025765
M30,15.0,20.0,20.0,2.0,4,4.0,30-70,30-70,False,43.29896907216495,291,503.63852076168416,0.7277041523368325,5.222608329714111
M30,15.0,20.0,20.0,2.0,4,2.0,30-70,30-70,False,43.29896907216495,291,503.63852076168416,0.7277041523368325,5.222608329714111
M30,15.0,20.0,15.0,1.5,3,2.0,30-70,30-70,False,43.29896907216495,291,503.63852076168416,0.7277041523368325,5.222608329714111
M30,15.0,20.0,15.0,1.5,3,4.0,30-70,30-70,False,43.29896907216495,291,503.63852076168416,0.7277041523368325,5.222608329714111
M30,15.0,20.0,15.0,1.5,4,2.0,30-70,30-70,False,43.29896907216495,291,503.63852076168416,0.7277041523368325,5.222608329714111
